Graph,Component,Freq,Layer,Metric,Time,Power,Freq_Host
alex,B,2,4,task,14.2033,3909.037454212455,
alex,B,2,4,out,,,
alex,B,2,4,trans,,,
alex,B,2,5,in,,,
alex,B,2,5,task,42.8814,4496.741326164873,
alex,B,2,5,out,,,
alex,B,2,5,trans,,,
alex,B,2,6,in,,,
alex,B,2,6,task,18.758,4415.935714285713,
alex,B,2,6,out,,,
alex,B,2,6,trans,,,
alex,B,2,7,in,,,
alex,B,2,7,task,4.9347,3983.6499999999996,
alex,B,2,7,out,0.4127,,
alex,B,2,7,trans,,,
alex,B,3,0,in,24.8554,3659.752846889953,
alex,B,3,0,task,33.1661,4462.047996773592,
alex,B,3,0,out,,,
alex,B,3,0,trans,0.0,,
alex,B,3,1,in,,,
alex,B,3,1,task,49.0423,4580.245967290733,
alex,B,3,1,out,,,
alex,B,3,1,trans,,,
alex,B,3,2,in,,,
alex,B,3,2,task,25.2105,3977.0210260577915,
alex,B,3,2,out,,,
alex,B,3,2,trans,,,
alex,B,3,3,in,,,
alex,B,3,3,task,17.9117,4062.711541889483,
alex,B,3,3,out,,,
alex,B,3,3,trans,,,
alex,B,3,4,in,,,
alex,B,3,4,task,12.6831,4034.5402614379086,
alex,B,3,4,out,,,
alex,B,3,4,trans,,,
alex,B,3,5,in,,,
alex,B,3,5,task,36.7285,4782.555509847641,
alex,B,3,5,out,,,
alex,B,3,5,trans,,,
alex,B,3,6,in,,,
alex,B,3,6,task,16.0136,4666.981153846154,
alex,B,3,6,out,,,
alex,B,3,6,trans,,,
alex,B,3,7,in,,,
alex,B,3,7,task,4.2504,4034.3666666666663,
alex,B,3,7,out,0.3285,,
alex,B,3,7,trans,,,
alex,B,4,0,in,20.8339,3865.047915012836,
alex,B,4,0,task,28.5203,4881.830492963835,
alex,B,4,0,out,,,
alex,B,4,0,trans,0.0,,
alex,B,4,1,in,,,
alex,B,4,1,task,41.799,5051.1025123016125,
alex,B,4,1,out,,,
alex,B,4,1,trans,,,
alex,B,4,2,in,,,
alex,B,4,2,task,23.0923,4190.667965506716,
alex,B,4,2,out,,,
alex,B,4,2,trans,,,
alex,B,4,3,in,,,
alex,B,4,3,task,16.2534,4296.598881118882,
alex,B,4,3,out,,,
alex,B,4,3,trans,,,
alex,B,4,4,in,,,
alex,B,4,4,task,11.3985,4286.864126984126,
alex,B,4,4,out,,,
alex,B,4,4,trans,,,
alex,B,4,5,in,,,
alex,B,4,5,task,34.6352,5114.906038570127,
alex,B,4,5,out,,,
alex,B,4,5,trans,,,
alex,B,4,6,in,,,
alex,B,4,6,task,14.9633,4974.837777777778,
alex,B,4,6,out,,,
alex,B,4,6,trans,,,
alex,B,4,7,in,,,
alex,B,4,7,task,4.0593,4177.345833333334,
alex,B,4,7,out,0.2881,,
alex,B,4,7,trans,,,
alex,B,5,0,in,17.711,4103.673376941685,
alex,B,5,0,task,24.5873,5422.528778379774,
alex,B,5,0,out,,,
alex,B,5,0,trans,0.0,,
alex,B,5,1,in,,,
alex,B,5,1,task,36.2295,5656.34597499788,
alex,B,5,1,out,,,
alex,B,5,1,trans,,,
alex,B,5,2,in,,,
alex,B,5,2,task,22.4738,4448.388652319904,
alex,B,5,2,out,,,
alex,B,5,2,trans,,,
alex,B,5,3,in,,,
alex,B,5,3,task,14.8817,4579.547222222222,
alex,B,5,3,out,,,
alex,B,5,3,trans,,,
alex,B,5,4,in,,,
alex,B,5,4,task,10.4388,4589.094642857142,
alex,B,5,4,out,,,
alex,B,5,4,trans,,,
alex,B,5,5,in,,,
alex,B,5,5,task,34.3126,5389.223891084761,
alex,B,5,5,out,,,
alex,B,5,5,trans,,,
alex,B,5,6,in,,,
alex,B,5,6,task,14.9419,5216.844242424242,
alex,B,5,6,out,,,
alex,B,5,6,trans,,,
alex,B,5,7,in,,,
alex,B,5,7,task,3.9481,4378.283333333333,
alex,B,5,7,out,0.2573,,
alex,B,5,7,trans,,,
alex,B,6,0,in,15.6532,4345.995775335776,
alex,B,6,0,task,22.5206,6059.053616142627,
alex,B,6,0,out,,,
alex,B,6,0,trans,0.0,,
alex,B,6,1,in,,,
alex,B,6,1,task,32.3765,6385.862467532469,
alex,B,6,1,out,,,
alex,B,6,1,trans,,,
alex,B,6,2,in,,,
