Num_iterations,PE,Freq,NextFreq,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,AVG
20000000,Little,2,5,668064,667325,666685,665626,665580,664972,664903,668155,667993,668036,666734
20000000,Little,5,3,937147,936289,935355,934607,934590,934520,934597,937185,937255,937156,935870
20000000,Little,4,2,1157410,1156260,1155040,1154970,1154910,1155000,1154880,1157210,1156380,1157280,1155930
20000000,Little,3,5,668009,667405,666610,665497,665644,664891,664978,668057,667811,668045,666695
20000000,Little,2,4,787864,786842,786132,785121,784906,784821,784855,787791,787718,787780,786383
20000000,Little,5,0,2316040,2315930,2315700,2315540,2315450,2315360,2315420,2315980,2316100,2316090,2315760
20000000,Little,4,1,1572410,1572470,1572350,1571990,1572010,1571990,1572070,1572430,1572450,1572500,1572270
20000000,Little,1,4,787763,786931,786135,785545,784880,784801,784888,786634,787699,787639,786292
20000000,Little,0,5,668006,667357,665804,666170,665605,664914,664952,668060,668094,668126,666709
20000000,Little,5,1,1572520,1572420,1572210,1572180,1572190,1572000,1572080,1572410,1572590,1572410,1572300
20000000,Little,4,0,2316010,2315820,2315740,2315620,2315490,2316580,2315430,2316070,2316100,2316130,2315900
20000000,Little,1,5,668180,666190,666678,665898,665535,664943,664997,668074,668034,667980,666651
20000000,Little,0,4,786441,786910,786096,785406,784907,784861,784743,787840,787646,787717,786257
20000000,Little,3,0,2316250,2316100,2316010,2315840,2315760,2315600,2315520,2316160,2316190,2316000,2315950
20000000,Little,2,1,1572500,1572400,1572170,1572170,1572110,1572060,1571990,1572440,1572580,1572490,1572290
20000000,Little,1,2,1157980,1156170,1155060,1155070,1155020,1154900,1154900,1157220,1157400,1157280,1156100
20000000,Little,0,3,937211,935573,935319,934714,934515,934489,934523,936017,937190,937211,935676
20000000,Little,3,1,1572550,1572380,1572920,1572200,1572170,1572030,1572030,1572450,1572360,1572440,1572350
20000000,Little,2,0,2315950,2315830,2315750,2315650,2315550,2315340,2316340,2316060,2316030,2316080,2315860
20000000,Little,1,3,937180,936265,935350,934637,934604,934512,934534,937338,936003,937186,935761
20000000,Little,0,2,1157320,1156200,1155060,1155000,1155080,1154910,1154870,1157310,1157290,1158420,1156150
20000000,Little,5,4,787699,786884,786158,785501,784877,784808,784796,787801,787691,787681,786390
20000000,Little,4,5,668187,666312,666661,666117,665460,664943,664893,668066,668366,668026,666703
20000000,Little,3,2,1157380,1156140,1155090,1155000,1155010,1155000,1154870,1157340,1157220,1157260,1156030
20000000,Little,2,3,936366,936321,935414,934515,934592,934504,934526,937195,937232,935982,935665
20000000,Little,1,0,2316090,2315940,2315810,2315680,2315480,2315310,2315400,2315950,2316050,2316100,2315780
20000000,Little,0,1,1572570,1572310,1572240,1572180,1572130,1571990,1572100,1572440,1572420,1572480,1572280
20000000,Little,5,5,666932,667311,666591,665996,665552,664904,664996,668080,668018,667025,666540
20000000,Little,4,4,787918,786740,786108,785514,784874,784814,784858,787162,787741,787605,786333
20000000,Little,3,3,937214,936211,935355,934613,935273,934502,934566,936560,937180,937198,935867
20000000,Little,2,2,1157270,1156150,1155080,1155050,1155010,1154940,1154940,1157320,1157240,1157260,1156030
20000000,Little,1,1,1572420,1572350,1572300,1572110,1572010,1572070,1572130,1572490,1572450,1572570,1572290
20000000,Little,0,0,2317580,2315960,2315800,2315660,2315560,2315450,2315520,2317620,2316260,2316190,2316160
