Layer,Freq,Energy_B,Energy_G,Energy_L,Power-Efficiency_B,Power-Efficiency_G,Power-Efficiency_L,Time_B,Time_G,Time_L
2,2,99.92032551109284,81.48308245641027,60.49102153418182,10.007973801976688,12.272486138885998,16.531378949104496,25.9365,19.1216,15.2388
2,3,90.90979649259765,69.75621485191667,54.374731720833346,10.999914625058315,14.335640231094382,18.390895335982986,22.6418,14.4807,12.9525
2,4,88.77909440193406,69.17307285785715,51.041327468571446,11.263913049987305,14.456492370302632,19.59196693337859,20.9904,12.1124,11.3727
2,5,88.61855108826924,,51.183816969999995,11.284319002281382,,19.537425287881966,19.5957,,10.2531
2,6,90.31140927296707,,,11.07279808886041,,,18.6714,,
2,7,96.2880893950909,,,10.385500494217755,,,18.1452,,
3,0,104.45477385207349,109.02204317633979,85.22507925311201,9.573521277411194,9.172456971683523,11.73363531913037,29.0519,30.0779,23.7377
3,1,81.88047084843555,80.40725487520875,62.757765777272695,12.212924396234179,12.436688723573388,15.934282994538076,21.664,21.2444,16.794
3,2,70.61756645409369,66.69763766900002,51.548271117,14.160782510822845,14.99303476028183,19.399292708193506,17.7589,16.9399,13.1652
3,3,63.68481535005934,56.44904905795636,46.942129115,15.70233021016474,17.715090275007075,21.30282581665981,15.3629,12.9677,11.4014
3,4,62.04536343816666,53.13419190488094,43.797094971428564,16.117239783704107,18.82027305111117,22.832564594806097,14.1567,10.7441,10.083
3,5,62.92193441641025,,43.578988355,15.892709104938081,,22.946838321575353,13.3849,,9.2127
3,6,63.69042979999998,,,15.700946015597468,,,12.6816,,
3,7,66.90976396152598,,,14.945501834007567,,,12.029,,
4,0,80.06346995085639,81.36930613499999,63.512055712144544,12.490090681977788,12.289646397388443,15.745042240992738,22.4653,22.8412,17.7676
4,1,61.803309778663845,61.12916771286368,47.25360935749999,16.180363213253454,16.358802800934676,21.16240459928554,16.6108,16.5093,12.8023
4,2,53.71310275768804,50.38963757722221,38.98490829880952,18.617431290670847,19.845350117223965,25.650951705086783,13.8026,13.181,10.1158
4,3,49.24211543803029,43.27495901833335,35.073211439999994,20.307819660153914,23.108051923893264,28.511788882255836,12.126,10.3769,8.718
4,4,47.62705940186324,39.46457574800001,32.54423835733333,20.99646739812953,25.339180291344654,30.72740523284257,11.0789,8.5046,7.6708
4,5,47.58570076458334,,32.24817577583333,21.014716268385207,,31.009505993495498,10.4755,,7.1123
4,6,48.155488688495666,,,20.76606482946771,,,9.9838,,
4,7,50.77238463409524,,,19.695746166085506,,,9.6199,,
5,0,315.08354443084033,231.8659186180737,206.37739121072028,3.1737614282788935,4.31283737584214,4.845492009243186,82.3645,56.3867,50.1335
5,1,232.70144123512924,178.53574415176413,162.3621728002202,4.297351983263253,5.60111928707089,6.159070076195998,56.3871,40.0174,37.4377
5,2,192.32324219122768,156.94472154071522,163.5158105098826,5.199579565145311,6.371670166304867,6.11561656870827,43.0173,33.0983,36.9279
5,3,175.6934246020255,153.03441057428796,167.69352612792304,5.691732643183229,6.534478070960171,5.963259423844196,36.8648,29.5531,36.823
5,4,175.84156025423405,164.9767196696817,171.82499187360804,5.686937710028203,6.061461289824477,5.819875147938813,34.5107,29.1769,36.5473
5,5,184.68859702461302,,182.3836875658841,5.4145194457605434,,5.482946492343297,34.2105,,36.5144
5,6,194.48073597496096,,,5.141897448026668,,,34.0841,,
5,7,212.77092121067932,,,4.6998903530141245,,,34.0352,,
6,0,138.08003128220366,100.24721376121323,87.64695284951574,7.242176806552362,9.97533958781118,11.409409768265835,36.3183,24.7455,21.5637
6,1,100.84875337574175,77.4882779013112,65.9428452040909,9.91583898190794,12.905177751834882,15.164647459554308,24.7785,17.7767,15.3655
6,2,82.86972674463094,68.70681407394949,67.49788929963637,12.067132827426503,14.554597145542143,14.815278083153146,18.9058,14.9371,15.3963
6,3,74.13884546964105,67.488891655,68.96285609772728,13.488205726234133,14.817253261647151,14.500559527043075,15.9797,13.6043,15.3445
6,4,73.89758396998836,73.038632355,71.37827295560606,13.532242142126389,13.691384514698447,14.009865447738601,14.925,13.5756,15.4685
6,5,77.48417329267679,,75.66179144040403,12.905861384398515,,13.216710587505222,14.8565,,15.436
6,6,81.889360587,,,12.211598586578178,,,14.8614,,
6,7,88.57136290460603,,,11.290330951292118,,,14.7659,,
7,0,35.39339237736111,60.13434574574175,22.462271172,28.253861323551344,16.629431776445532,44.519095702420984,9.5707,17.3265,5.8417
7,1,25.232460069000002,45.12353472348484,16.717427260000004,39.63149043991062,22.161384433377368,59.81781672785934,6.5238,12.649,4.2863
7,2,19.778527905999997,37.85847536023413,16.507082609999998,50.559880126196894,26.41416460870958,60.58005667180702,4.9436,10.3889,4.1742
7,3,17.489659627499996,29.683689641666675,16.509088631666668,57.176641586989064,33.688534413064026,60.572695580655164,4.2279,7.6975,4.1287
7,4,16.90547509,27.432140981380954,16.778600202499998,59.152434029583965,36.45358926518827,59.599727505933465,3.9557,6.5522,4.1387
7,5,17.535778225,,17.359943183333332,57.0262686473956,,57.603875164756566,3.9242,,4.0805
7,6,17.864248651666664,,,55.977725092104784,,,3.8941,,
7,7,18.99496352,,,52.64553411471885,,,3.9104,,
