Graph,Component,Freq,Freq_Host,Layer,Metric,Time,Power,Time_sum,Time_Percentage
squeeze,B,6,-1,8,task,4.1441,4760.258333333332,119.0503,3.4809656086544933
squeeze,B,6,-1,9,task,12.3407,5457.999466726085,119.0503,10.365954558703338
squeeze,B,7,-1,0,in,14.0351,5334.460555555556,110.7725,12.67020244194182
squeeze,B,7,-1,0,task,27.1552,7017.1902034498025,110.7725,24.51438759619942
squeeze,B,7,-1,1,task,6.0348,5711.539285714285,110.7725,5.4479225439526955
squeeze,B,7,-1,2,task,5.9757,5830.108333333333,110.7725,5.394569951928503
squeeze,B,7,-1,3,task,14.7417,6624.413232323231,110.7725,13.308086393283533
squeeze,B,7,-1,4,task,4.0278,5199.516666666666,110.7725,3.636101017851904
squeeze,B,7,-1,5,task,6.0826,6063.945,110.7725,5.4910740481617735
squeeze,B,7,-1,6,task,6.6933,6264.639682539683,110.7725,6.0423841657451085
squeeze,B,7,-1,7,task,11.1277,6547.059577922079,110.7725,10.045543794714392
squeeze,B,7,-1,8,task,3.8617,5174.541666666668,110.7725,3.486154054481031
squeeze,B,7,-1,9,task,11.0369,6333.930357142854,110.7725,9.963573991739826
squeeze,G,0,0,0,in,101.6049,3370.5921836623183,403.3564,25.189856910662627
squeeze,G,0,0,0,task,64.6973,3886.529659639878,403.3564,16.039735578758634
squeeze,G,0,0,1,task,19.3592,3675.9884981684986,403.3564,4.799527167537196
squeeze,G,0,0,2,task,20.2008,3681.001758241756,403.3564,5.008176391895605
squeeze,G,0,0,3,task,46.6961,3684.3380403297697,403.3564,11.576883371628664
squeeze,G,0,0,4,task,13.3291,3667.147777777776,403.3564,3.304546549899791
squeeze,G,0,0,5,task,20.7164,3701.331904761903,403.3564,5.136003792179819
squeeze,G,0,0,6,task,22.3689,3701.747573529412,403.3564,5.54569110593014
squeeze,G,0,0,7,task,31.975,3732.1750141163175,403.3564,7.927232591326182
squeeze,G,0,0,8,task,14.8566,3543.677272727273,403.3564,3.683243900431479
squeeze,G,0,0,9,task,47.5521,3754.010690094219,403.3564,11.78910263974986
squeeze,G,0,1,0,in,36.3831,3497.762403140337,334.1717,10.887546731216318
squeeze,G,0,1,0,task,64.1825,3893.247503775293,334.1717,19.206443873014983
squeeze,G,0,1,1,task,19.0334,3678.7235347985343,334.1717,5.695694758113868
squeeze,G,0,1,2,task,19.8105,3686.087271062271,334.1717,5.928239883868084
squeeze,G,0,1,3,task,46.2858,3697.565130131965,334.1717,13.85090359237482
squeeze,G,0,1,4,task,13.0063,3712.692777777777,334.1717,3.892100976833167
squeeze,G,0,1,5,task,20.3082,3721.495311355311,334.1717,6.077175296411994
squeeze,G,0,1,6,task,21.8829,3701.339404761905,334.1717,6.548400118861053
squeeze,G,0,1,7,task,31.572,3717.429328063241,334.1717,9.447837743291847
squeeze,G,0,1,8,task,14.528,3538.4786868686874,334.1717,4.347465689045482
squeeze,G,0,1,9,task,47.179,3759.589814595193,334.1717,14.118191336968392
squeeze,G,0,2,0,in,27.0026,3622.229334795321,323.2181,8.354296990174745
squeeze,G,0,2,0,task,64.0221,3910.556003025145,323.2181,19.80770878858579
squeeze,G,0,2,1,task,18.926,3703.7237179487183,323.2181,5.855488909810434
squeeze,G,0,2,2,task,19.688,3707.492582417582,323.2181,6.0912430337286185
squeeze,G,0,2,3,task,46.1816,3700.714086021505,323.2181,14.288061219343845
squeeze,G,0,2,4,task,12.819,3703.029166666666,323.2181,3.9660526437102384
squeeze,G,0,2,5,task,20.1264,3736.554395604396,323.2181,6.2268790021350915
squeeze,G,0,2,6,task,21.7533,3725.3919047619024,323.2181,6.730223338358836
squeeze,G,0,2,7,task,31.3549,3745.5664285714297,323.2181,9.700849055173581
squeeze,G,0,2,8,task,14.3599,3570.5868376068397,323.2181,4.442789559124319
squeeze,G,0,2,9,task,46.9843,3772.5149126344086,323.2181,14.536407459854505
squeeze,G,0,3,0,in,21.9082,3754.075329670332,316.5565,6.920786652619674
squeeze,G,0,3,0,task,63.8766,3928.836353077816,316.5565,20.1785779157907
squeeze,G,0,3,1,task,18.7783,3712.973717948717,316.5565,5.93205320377247
squeeze,G,0,3,2,task,19.5349,3735.331410256409,316.5565,6.171062669697195
squeeze,G,0,3,3,task,46.0282,3706.479829440118,316.5565,14.540279539355533
squeeze,G,0,3,4,task,12.686,3725.6277777777777,316.5565,4.007499451124839
squeeze,G,0,3,5,task,20.0032,3741.6714285714297,316.5565,6.318998346266779
squeeze,G,0,3,6,task,21.6013,3729.315128205127,316.5565,6.823837134919042
squeeze,G,0,3,7,task,31.1972,3772.972142857142,316.5565,9.855175932258536
squeeze,G,0,3,8,task,14.1202,3583.005555555557,316.5565,4.460562332474613
squeeze,G,0,3,9,task,46.8224,3792.620161290324,316.5565,14.791166821720608
squeeze,G,0,4,0,in,18.5087,4003.965268065266,312.93780000000004,5.91449802484711
squeeze,G,0,4,0,task,63.7974,3958.5302555168414,312.93780000000004,20.386607178806777
squeeze,G,0,4,1,task,18.7683,3753.828846153847,312.93780000000004,5.997453807114384
squeeze,G,0,4,2,task,19.512,3750.3908424908423,312.93780000000004,6.235104867484847
squeeze,G,0,4,3,task,46.0279,3738.994334445682,312.93780000000004,14.708322228890214
squeeze,G,0,4,4,task,12.6733,3752.26111111111,312.93780000000004,4.049782416825324
squeeze,G,0,4,5,task,19.9672,3784.53553113553,312.93780000000004,6.380565083540561
squeeze,G,0,4,6,task,21.5889,3772.129267399268,312.93780000000004,6.898783080855043
squeeze,G,0,4,7,task,31.201,3789.7888095238095,312.93780000000004,9.970351935752088
squeeze,G,0,4,8,task,14.0967,3617.602222222221,312.93780000000004,4.504633189087415
squeeze,G,0,4,9,task,46.7964,3813.749052419356,312.93780000000004,14.953898186796225
squeeze,G,0,5,0,in,15.7378,4271.317828282828,309.49399999999997,5.08500972555203
squeeze,G,0,5,0,task,63.8109,4003.321196283391,309.49399999999997,20.617814884941225
squeeze,G,0,5,1,task,18.6979,3792.6352564102576,309.49399999999997,6.041441837321564
squeeze,G,0,5,2,task,19.4394,3801.2891025641006,309.49399999999997,6.281026449624226
squeeze,G,0,5,3,task,45.935,3779.053781979979,309.49399999999997,14.841967857212095
squeeze,G,0,5,4,task,12.5753,3807.977976190477,309.49399999999997,4.0631805463110755
squeeze,G,0,5,5,task,19.9488,3816.0857142857135,309.49399999999997,6.445617685641725
squeeze,G,0,5,6,task,21.5056,3820.019999999998,309.49399999999997,6.948632283663013
squeeze,G,0,5,7,task,31.0923,3830.0261904761887,309.49399999999997,10.046172139039854
squeeze,G,0,5,8,task,14.0179,3680.93888888889,309.49399999999997,4.529296206065384
squeeze,G,0,5,9,task,46.7331,3855.345692204299,309.49399999999997,15.099840384627813
squeeze,G,0,6,0,in,14.2007,4586.408055555555,307.6418,4.615985213972873
squeeze,G,0,6,0,task,63.8536,4064.385113307943,307.6418,20.75582706901338
squeeze,G,0,6,1,task,18.6445,3854.2914918414895,307.6418,6.060457324069747
squeeze,G,0,6,2,task,19.4033,3855.657692307693,307.6418,6.307107811747299
squeeze,G,0,6,3,task,45.8949,3830.152951427512,307.6418,14.918291337523055
squeeze,G,0,6,4,task,12.566,3869.9875,307.6418,4.084620490453508
squeeze,G,0,6,5,task,19.884,3877.346336996335,307.6418,6.4633609607017
squeeze,G,0,6,6,task,21.5045,3883.023626373624,307.6418,6.990109926544442
squeeze,G,0,6,7,task,31.0781,3891.622857142858,307.6418,10.102040749989111
squeeze,G,0,6,8,task,13.9324,3719.837777777777,307.6418,4.528773398153307
squeeze,G,0,6,9,task,46.6798,3904.280692204301,307.6418,15.173425717831583
squeeze,G,0,7,0,in,12.6148,5080.821428571429,305.45,4.1299066950401055
squeeze,G,0,7,0,task,63.7512,4149.965679442509,305.45,20.871239155344572
squeeze,G,0,7,1,task,18.6149,3939.994871794872,305.45,6.094254378785399
squeeze,G,0,7,2,task,19.3539,4022.562820512821,305.45,6.336192502864627
squeeze,G,0,7,3,task,45.8702,3902.156414534668,305.45,15.017253232935012
squeeze,G,0,7,4,task,12.5076,3946.973214285714,305.45,4.094810934686528
squeeze,G,0,7,5,task,19.7866,3962.746062271063,305.45,6.477852348993289
squeeze,G,0,7,6,task,21.3775,4050.660769230769,305.45,6.998690456703225
squeeze,G,0,7,7,task,31.0527,3970.332619047619,305.45,10.166213782943199
squeeze,G,0,7,8,task,13.8753,3811.9027777777783,305.45,4.542576526436405
squeeze,G,0,7,9,task,46.6453,3998.004139784946,305.45,15.27100998526764
squeeze,G,1,0,0,in,53.5004,3380.3115938783444,264.2873,20.243273134955782
squeeze,G,1,0,0,task,44.3587,4189.035484400656,264.2873,16.784272267339368
squeeze,G,1,0,1,task,13.9357,3828.958611111109,264.2873,5.272935929951988
squeeze,G,1,0,2,task,14.4251,3839.175757575758,264.2873,5.458113197266763
squeeze,G,1,0,3,task,32.2437,3874.051385281384,264.2873,12.200245717444611
squeeze,G,1,0,4,task,9.7825,3788.593452380952,264.2873,3.70146427770082
squeeze,G,1,0,5,task,14.5532,3884.474747474748,264.2873,5.506583176717156
squeeze,G,1,0,6,task,15.6638,3911.59595959596,264.2873,5.926807682397149
squeeze,G,1,0,7,task,22.2331,3944.488214285716,264.2873,8.412473849481227
squeeze,G,1,0,8,task,10.6578,3660.1553571428567,264.2873,4.032656885139771
squeeze,G,1,0,9,task,32.9333,4019.869911067192,264.2873,12.46117388160536
squeeze,G,1,1,0,in,36.603,3487.1540989011,242.3038,15.106242659009064
squeeze,G,1,1,0,task,43.9609,4204.677684729063,242.3038,18.142885088884285
squeeze,G,1,1,1,task,13.4531,3866.76361111111,242.3038,5.552162202986499
squeeze,G,1,1,2,task,13.8773,3848.082222222221,242.3038,5.72723168188035
squeeze,G,1,1,3,task,31.6874,3884.7106277056287,242.3038,13.077549753656362
squeeze,G,1,1,4,task,9.2563,3800.525714285715,242.3038,3.820121681954637
squeeze,G,1,1,5,task,14.0647,3918.416666666667,242.3038,5.804572606785366
squeeze,G,1,1,6,task,15.1539,3908.5111111111114,242.3038,6.254090938730634
squeeze,G,1,1,7,task,21.6669,3952.628095238096,242.3038,8.942038878465793
squeeze,G,1,1,8,task,10.1277,3680.192261904763,242.3038,4.17975285571254
squeeze,G,1,1,9,task,32.4526,4033.606427630341,242.3038,13.39335165193447
squeeze,G,1,2,0,in,26.8232,3636.007456140351,231.3734,11.593035327310746
squeeze,G,1,2,0,task,43.5923,4219.533251231528,231.3734,18.840670535160914
squeeze,G,1,2,1,task,13.3574,3894.793055555556,231.3734,5.773092326084157
squeeze,G,1,2,2,task,13.745,3898.057777777776,231.3734,5.940613743844366
squeeze,G,1,2,3,task,31.5901,3899.716666666666,231.3734,13.6532980887172
squeeze,G,1,2,4,task,9.1169,3822.7490476190487,231.3734,3.940340592306635
squeeze,G,1,2,5,task,14.0296,3939.767777777777,231.3734,6.0636183761832605
squeeze,G,1,2,6,task,15.1067,3947.719191919193,231.3734,6.529142935186154
squeeze,G,1,2,7,task,21.6125,3968.892051282052,231.3734,9.340961406972452
squeeze,G,1,2,8,task,10.0543,3672.0500000000006,231.3734,4.3454865598206185
squeeze,G,1,2,9,task,32.3454,4067.0086580086568,231.3734,13.9797401084135
squeeze,G,1,3,0,in,21.8804,3782.185567765567,224.97109999999998,9.725871456378176
squeeze,G,1,3,0,task,43.4706,4245.899014778326,224.97109999999998,19.322748566371413
squeeze,G,1,3,1,task,13.2505,3894.73888888889,224.97109999999998,5.889867631886941
squeeze,G,1,3,2,task,13.6121,3880.123333333333,224.97109999999998,6.050599388099183
squeeze,G,1,3,3,task,31.485,3920.343333333333,224.97109999999998,13.995130930150584
squeeze,G,1,3,4,task,9.0235,3856.714285714286,224.97109999999998,4.0109596299258
squeeze,G,1,3,5,task,13.7476,3982.666944444444,224.97109999999998,6.110829346524954
squeeze,G,1,3,6,task,14.9062,3958.984141414141,224.97109999999998,6.625828828680662
squeeze,G,1,3,7,task,21.5114,3993.2575824175815,224.97109999999998,9.56185038878327
squeeze,G,1,3,8,task,9.9524,3728.359523809524,224.97109999999998,4.423857108757526
squeeze,G,1,3,9,task,32.1314,4076.6976190476175,224.97109999999998,14.282456724441495
squeeze,G,1,4,0,in,18.4451,4018.306946386947,221.33929999999998,8.333404867549506
squeeze,G,1,4,0,task,43.4262,4293.617610837438,221.33929999999998,19.619742178637054
