Layer,Freq,Energy_B,Energy_G,Energy_L,Energy-Efficiency_B,Energy-Efficiency_G,Energy-Efficiency_L,Time_B,Time_G,Time_L
4,1,59.4776621563264,59.177276633212124,69.7918236378122,16.813034738515423,16.898378176442964,14.328325982561294,16.3602,16.3568,18.9278
4,2,52.60580818066669,49.7449868225,69.21219760211604,19.00930780429513,20.102528191799482,14.448320305457644,13.8184,13.191,18.3611
4,3,47.505093124743595,41.78615595833334,67.1319308068756,21.050374480355202,23.9313709783963,14.8960410937202,11.9994,10.145,17.5845
4,4,45.78540475607143,38.95762136933333,68.9045430716282,21.841021288938016,25.66891829764484,14.512831163548563,10.8947,8.3447,17.8343
4,5,45.49596757420633,,69.86342391808158,21.979969947203497,,14.31364144380543,10.1879,,17.6626
4,6,45.89319420952381,,,21.78972323073731,,,9.5626,,
4,7,48.60609400142855,,,20.573551949486202,,,9.187,,
5,0,308.9111037133453,225.828681196334,235.29813177002617,3.237177259021262,4.4281354994523765,4.2499274961408195,82.6164,56.2803,59.3945
5,1,227.3652397382197,174.4818141805709,198.65145943826494,4.39820968742348,5.731256318581728,5.033942377406851,56.2902,39.9198,47.7859
5,2,187.95404817132888,154.41516758548084,194.6278347086114,5.320449384992513,6.476047759015784,5.138011227927176,42.8582,32.8793,46.1046
5,3,170.7214341529888,150.147916920893,198.01708452022007,5.857495310775499,6.660099057696954,5.050069302974144,36.4724,29.1293,46.1891
5,4,172.44183217660074,163.60457635461987,200.26680641403257,5.799056918949239,6.1122984593808525,4.993338726002326,34.3368,28.8176,46.0896
5,5,181.99077201709542,,205.73970741438237,5.494784097657789,,4.8605104603648055,34.3606,,46.1518
5,6,191.74656123023712,,,5.215217386867572,,,34.0618,,
5,7,210.73300701730065,,,4.7453411031993795,,,34.0615,,
6,0,134.2057265114678,97.62870664036768,101.35723695016513,7.451246872945847,10.242888945396706,9.866093730353715,36.1668,24.6982,25.5722
6,1,98.82559256636439,76.03075473573429,85.11283767961541,10.118836366485429,13.15257231729152,11.749108915440388,24.7998,17.8484,20.6131
6,2,80.4614863164835,67.63903832527274,83.82280842326007,12.428306333624588,14.784361587032777,11.929927173884918,18.7095,14.8842,20.0164
6,3,72.5689104341818,66.85432384155554,84.93607556707789,13.780005707912277,14.95789565339103,11.77356021364861,15.9406,13.5862,20.007
6,4,73.40806743781818,72.9207925716667,86.36677118939151,13.622480946621714,13.713509751244105,11.578527091248151,15.0708,13.5457,20.1009
6,5,76.61107807418182,,88.54553813734984,13.052942539611687,,11.293623835103046,14.8611,,20.0651
6,6,80.74461329933331,,,12.384727093717554,,,14.8714,,
6,7,88.39544254799998,,,11.312800424716306,,,14.8142,,
7,0,34.55720876762769,58.43316294247251,25.343819153,28.937522319128227,17.113569583500055,39.45735226261777,9.5853,17.3619,6.6471
7,1,24.6593568,44.001376832666644,21.171964275,40.552558126739136,22.726561575627777,47.23227316139045,6.5195,12.6852,5.4675
7,2,19.275234247499995,36.98478076150793,21.37253531,51.88004395483289,27.038148649531927,46.78902083891329,4.9203,10.3729,5.4727
7,3,17.334674406666668,29.443737242285735,21.539055709666666,57.68784440597363,33.963079882530884,46.427290661178006,4.274,7.7263,5.4458
7,4,17.093898704166666,27.280433297333328,21.837215855499995,58.50040516247171,36.656309271222256,45.79338348886342,4.0555,6.5441,5.4741
7,5,16.850559,,22.243860365999996,59.34521222708398,,44.95622538291563,3.9336,,5.4558
7,6,17.734748166666666,,,56.38647871411838,,,3.916,,
7,7,18.796857256666662,,,53.20038272064502,,,3.8893,,
