Num_iterations,PE,Freq,NextFreq,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,AVG
256,Little,3,0,169750,168875,167709,167125,166250,169167,166833,168875,414167,167125,192588
256,Little,2,1,182292,182000,182000,182583,181708,181708,176750,182000,182000,129792,176283
256,Little,1,2,1.48721e+06,1.61963e+06,1.37608e+06,1.48838e+06,1.48696e+06,1.484e+06,1.48575e+06,1.48808e+06,1.51288e+06,1.50588e+06,1.49348e+06
256,Little,0,3,1.81329e+06,1.62021e+06,1.624e+06,1.78004e+06,1.77133e+06,1.5225e+06,1.76579e+06,1.78121e+06,1.77392e+06,1.63862e+06,1.70909e+06
256,Little,3,1,166250,165667,131834,223417,162458,165375,166834,165084,166250,164792,167796
256,Little,2,0,186375,162750,162750,162459,381792,163042,162458,179959,187250,162459,191129
256,Little,1,3,1.50675e+06,1.309e+06,1.50708e+06,1.40354e+06,1.50646e+06,1.38658e+06,1.50762e+06,1.52425e+06,1.50617e+06,1.32475e+06,1.44822e+06
256,Little,0,2,4.40475e+06,4.36683e+06,4.34438e+06,4.38725e+06,4.382e+06,4.3785e+06,4.15888e+06,2.85517e+06,4.38083e+06,4.45233e+06,4.21109e+06
256,Little,5,4,121916,121917,121917,121917,121625,121625,121917,121916,121625,121917,121829
256,Little,4,5,1.15821e+06,1.11067e+06,1.26467e+06,1.21042e+06,1.26671e+06,1.22938e+06,1.26612e+06,1.16462e+06,1.31804e+06,1.26554e+06,1.22544e+06
256,Little,3,2,131542,131250,131542,131541,131542,131542,131541,131834,131541,131834,131571
256,Little,2,3,1.37171e+06,1.379e+06,1.37725e+06,1.3615e+06,1.36121e+06,1.84888e+06,1.37696e+06,1.37783e+06,1.31279e+06,1.38046e+06,1.41476e+06
256,Little,1,0,154583,154292,154292,154291,154001,157209,154000,154000,154292,154000,154496
256,Little,0,1,291167,290500,289916,290500,290292,290541,290500,290500,290208,350583,296471
256,Big,7,7,4577.3,4579.17,4580.18,4585.13,4569.27,4570.58,4582.83,4561.96,4578.3,4579.6,4576.43
256,Big,6,6,5123.13,5128.37,5124.15,5125.9,5121.96,5124.58,5115.69,5095.27,5115.69,5107.81,5118.25
256,Big,5,5,5808.83,5807.23,5800.82,5804.02,5805.92,5801.69,5811.31,5813.06,6250.85,5822.25,5852.6
256,Big,4,4,6850.67,6850.38,6850.67,6844.98,6847.16,6845.56,6854.31,6847.17,7536.08,6848.19,6917.52
256,Big,3,3,8158.94,8159.23,8150.77,8153.54,8156.02,8156.6,8139.69,8156.75,8157.77,8153.98,8154.33
256,Big,2,2,10104.8,10078.8,10054.8,10075,10074.9,10053.7,10089,10064.5,10083.1,10085.7,10076.4
256,Big,1,1,13734.3,13713.3,13752.1,13707.3,13722.6,13680.8,13723.5,13716.5,13733.4,13712.3,13719.6
256,Big,0,0,20219.5,20200.4,20207,20182.3,20190.9,20182.8,20173.9,20329.6,20218.6,20221.1,20212.6
256,Little,5,5,9384.52,9389.48,9387.88,9385.25,9385.4,9387.58,9384.38,9388.02,9387,9383.65,9386.32
256,Little,4,4,11076.8,11072.8,11074.3,11066,11068.7,11059.3,11055.2,11085.7,11077.7,11077.1,11071.3
256,Little,3,3,13182.2,13185.2,13184.9,13184.9,13180.6,13187,13187.1,13191.6,13189.2,13181,13185.4
256,Little,2,2,16249.5,16288.7,16283.8,16281.7,16289.4,16287.1,16310.7,16287.8,16312,16289.9,16288.1
256,Little,1,1,22167.3,22172.2,22170.2,22149.3,22180.1,22151.8,22157.9,22157.9,22170.9,22165.8,22164.3
256,Little,0,0,32638.4,32639.5,32655.6,32637.1,32654.4,32643.5,32645.2,32650.2,32663.6,32643.3,32647.1
